# ----------------------------------------
# ALL SITE
# AdWords Keywords
# 20160529-20170529
# ----------------------------------------

Keyword,Ad Group,Clicks,Cost,CPC,Sessions,Bounce Rate,Pages / Session,Ecommerce Conversion Rate,Transactions,Revenue
dynamic search ads,All Webpages,"29,918","$11,202.63",$0.37,"36,770",33.94%,5.41,1.58%,581,"$99,204.28"
hobo bags,Hobo Bags,"22,369","$7,619.99",$0.34,"29,704",25.00%,6.48,1.96%,581,"$103,825.05"
hobobags,Hobo Bags - hobobags,"9,768","$1,865.97",$0.19,"13,463",28.67%,6.12,1.63%,220,"$49,071.13"
+hobo +wallets,Wallets,"8,902","$3,228.46",$0.36,"11,320",27.54%,5.12,2.22%,251,"$30,798.14"
+hobo +purses,Purses,"8,319","$2,851.75",$0.34,"10,182",41.30%,4.59,1.13%,115,"$24,276.97"
+hobo wallet purse,Wallets,"5,859","$1,906.18",$0.33,"7,702",26.58%,5.85,1.88%,145,"$28,348.25"
hobo wallets,Wallets,"5,116","$5,059.53",$0.99,"6,787",30.96%,5.09,1.30%,88,"$10,497.75"
hobo website,Hobo Bags,"4,363","$1,518.03",$0.35,"5,117",33.87%,5.76,1.93%,99,"$15,380.36"
hobo international handbags on sale,Sale,"4,206","$2,860.09",$0.68,"5,284",33.99%,5.11,2.02%,107,"$14,897.80"
hobo,Hobo Bags,"4,017",$642.32,$0.16,"5,134",33.33%,5.93,1.71%,88,"$17,542.48"
,,"198,503","$88,758.89",$0.45,"245,543",35.67%,5.17,1.49%,"3,653","$618,654.45"

Day Index,Sessions
9/29/16,289
9/30/16,563
10/1/16,568
10/2/16,532
10/3/16,400
10/4/16,457
10/5/16,393
10/6/16,450
10/7/16,480
10/8/16,516
10/9/16,474
10/10/16,691
10/11/16,466
10/12/16,350
10/13/16,361
10/14/16,376
10/15/16,368
10/16/16,346
10/17/16,360
10/18/16,363
10/19/16,311
10/20/16,264
10/21/16,285
10/22/16,352
10/23/16,295
10/24/16,265
10/25/16,291
10/26/16,354
10/27/16,265
10/28/16,243
10/29/16,232
10/30/16,192
10/31/16,184
11/1/16,343
11/2/16,340
11/3/16,364
11/4/16,392
11/5/16,365
11/6/16,394
11/7/16,371
11/8/16,456
11/9/16,477
11/10/16,447
11/11/16,782
11/12/16,827
11/13/16,877
11/14/16,716
11/15/16,676
11/16/16,689
11/17/16,639
11/18/16,639
11/19/16,838
11/20/16,949
11/21/16,"1,162"
11/22/16,"1,368"
11/23/16,"1,263"
11/24/16,"1,617"
11/25/16,"3,318"
11/26/16,"2,587"
11/27/16,"2,726"
11/28/16,"3,903"
11/29/16,"1,348"
11/30/16,999
12/1/16,"1,121"
12/2/16,"1,257"
12/3/16,"1,307"
12/4/16,"1,335"
12/5/16,"1,218"
12/6/16,"1,311"
12/7/16,"1,416"
12/8/16,"1,462"
12/9/16,"1,569"
12/10/16,"1,574"
12/11/16,"1,687"
12/12/16,"1,305"
12/13/16,"1,678"
12/14/16,"1,488"
12/15/16,"1,487"
12/16/16,"1,539"
12/17/16,"1,460"
12/18/16,"1,543"
12/19/16,874
12/20/16,924
12/21/16,"1,058"
12/22/16,"1,011"
12/23/16,"1,108"
12/24/16,780
12/25/16,"1,046"
12/26/16,"1,827"
12/27/16,"1,251"
12/28/16,"1,317"
12/29/16,938
12/30/16,495
12/31/16,349
1/1/17,409
1/2/17,304
1/3/17,223
1/4/17,107
1/5/17,428
1/6/17,721
1/7/17,807
1/8/17,773
1/9/17,699
1/10/17,645
1/11/17,687
1/12/17,710
1/13/17,781
1/14/17,753
1/15/17,778
1/16/17,941
1/17/17,813
1/18/17,890
1/19/17,859
1/20/17,807
1/21/17,866
1/22/17,912
1/23/17,775
1/24/17,883
1/25/17,838
1/26/17,876
1/27/17,875
1/28/17,"1,001"
1/29/17,917
1/30/17,858
1/31/17,967
2/1/17,939
2/2/17,955
2/3/17,949
2/4/17,"1,036"
2/5/17,904
2/6/17,899
2/7/17,843
2/8/17,860
2/9/17,995
2/10/17,959
2/11/17,"1,073"
2/12/17,"1,043"
2/13/17,942
2/14/17,995
2/15/17,"1,010"
2/16/17,900
2/17/17,978
2/18/17,980
2/19/17,"1,022"
2/20/17,"1,227"
2/21/17,991
2/22/17,"1,009"
2/23/17,"1,053"
2/24/17,"1,072"
2/25/17,"1,061"
2/26/17,"1,063"
2/27/17,967
2/28/17,900
3/1/17,836
3/2/17,897
3/3/17,884
3/4/17,"1,100"
3/5/17,"1,111"
3/6/17,"1,136"
3/7/17,989
3/8/17,"1,032"
3/9/17,934
3/10/17,"1,133"
3/11/17,"1,170"
3/12/17,"1,184"
3/13/17,"1,105"
3/14/17,"1,160"
3/15/17,"1,062"
3/16/17,947
3/17/17,992
3/18/17,"1,023"
3/19/17,"1,048"
3/20/17,987
3/21/17,"1,046"
3/22/17,"1,027"
3/23/17,"1,090"
3/24/17,"1,106"
3/25/17,"1,278"
3/26/17,997
3/27/17,913
3/28/17,967
3/29/17,913
3/30/17,884
3/31/17,850
4/1/17,964
4/2/17,983
4/3/17,802
4/4/17,877
4/5/17,858
4/6/17,729
4/7/17,672
4/8/17,703
4/9/17,715
4/10/17,582
4/11/17,616
4/12/17,698
4/13/17,683
4/14/17,651
4/15/17,574
4/16/17,479
4/17/17,619
4/18/17,697
4/19/17,615
4/20/17,696
4/21/17,730
4/22/17,759
4/23/17,697
4/24/17,528
4/25/17,503
4/26/17,492
4/27/17,498
4/28/17,538
4/29/17,598
4/30/17,621
5/1/17,628
5/2/17,653
5/3/17,583
5/4/17,622
5/5/17,613
5/6/17,682
5/7/17,674
5/8/17,644
5/9/17,738
5/10/17,556
5/11/17,518
5/12/17,598
5/13/17,560
5/14/17,570
5/15/17,607
5/16/17,312
5/17/17,80
5/18/17,303
5/19/17,389
5/20/17,448
5/21/17,370
5/22/17,326
5/23/17,308
5/24/17,260
5/25/17,310
5/26/17,380
5/27/17,403
5/28/17,474
5/29/17,666
,"245,543"
